"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Tallahatchie County","MS",-90.1733,33.9505,12621,0.8148,"Tallahatchie","County"
"Tallapoosa County","AL",-85.7975,32.8624,41251,0.7879,"Tallapoosa","County"
"Tangipahoa Parish","LA",-90.4057,30.6266,133953,0.4762,"Tangipahoa","Parish"
"Taylor County","FL",-83.6035,30.047,21421,0.5303,"Taylor","County"
"Tensas Parish","LA",-91.3401,32.0019,4127,0.7302,"Tensas","Parish"
"Terrebonne Parish","LA",-90.8663,29.4148,108862,0.2857,"Terrebonne","Parish"
"Terrell County","TX",-102.0765,30.225,862,0.0158,"Terrell","County"
"Throckmorton County","TX",-99.2123,33.1775,1439,0.0316,"Throckmorton","County"
"Titus County","TX",-94.9657,33.2166,31301,0.8656,"Titus","County"
"Trinity County","TX",-95.1355,31.0888,13735,0.6719,"Trinity","County"
"Tyler County","TX",-94.3766,30.7712,19962,0.664,"Tyler","County"
"Union County","FL",-82.3714,30.0439,15524,0.4848,"Union","County"
"Union Parish","LA",-92.3748,32.8318,21049,0.5556,"Union","Parish"
"Upshur County","TX",-94.9415,32.7363,41261,0.2569,"Upshur","County"
"Upton County","TX",-102.0431,31.3688,3284,0.5455,"Upton","County"
"Uvalde County","TX",-99.7622,29.3573,24833,0.9605,"Uvalde","County"
"Val Verde County","TX",-101.1517,29.8929,47693,0.9328,"Val Verde","County"
"Van Zandt County","TX",-95.8365,32.5637,60053,0.2213,"Van Zandt","County"
"Vermilion Parish","LA",-92.3242,29.8465,57202,0.381,"Vermilion","Parish"
"Vernon Parish","LA",-93.1843,31.1083,48452,0.3651,"Vernon","Parish"
